Variable,Generated File(s),Description
'excel_summary',.logs/*.xlsx,Adds a row to an excel file with information of the monte carlo run
,./logs/montecarlo/<year>/<month>/<day>/run_<time>/run_data.csv,Always generated. All monte carlo raw results.
,./logs/montecarlo/<year>/<month>/<day>/run_<time>/<model_name>_statistical_result.csv,Always generated. Statistical results per model.
,./logs/montecarlo/<year>/<month>/<day>/run_<time>/models_details.json,Always generated. A full detailed description of each model to be trained. 
'plot_all’,./logs/montecarlo/<year>/<month>/<day>/run_<time>/plots/, Plots generated using MonteCarloAnalyzer.do_all()
'confusion_matrix',./logs/montecarlo/<year>/<month>/<day>/run_<time>/<model_name>_confusion_matrix.csv,Generates a confusion matrix file per model
'summary_of_run',./logs/montecarlo/<year>/<month>/<day>/run_<time>/run_summary.txt,Generates a user friendly monte carlo text summary
'debug',,Prints progress bar per model epoch
'safety_checkpoints',./logs/montecarlo/<year>/<month>/<day>/run_<time>/run_data.csv,Creates the `run_data.csv` as data is obtained not to lose information if an unexpected exit happens.
,./logs/montecarlo/<year>/<month>/<day>/run_<time>/test_results.csv, This is generated if a test_data is passed to the :meth:`run()` method of MonteCarlo.
