,network,step,path,train loss,train accuracy,test loss,test accuracy,train loss,train accuracy,test loss,test accuracy
0,complex_network,0,log/2020/02February/26Wednesday/run-10h03m48,1.3818733,0.51,1.3520079,0.52325,1.3818733,0.51,1.3520079,0.52325
1,complex_network,1,log/2020/02February/26Wednesday/run-10h03m48,0.98828346,0.5363125,0.9909626,0.53825,0.98828346,0.5363125,0.9909626,0.53825
2,complex_network,2,log/2020/02February/26Wednesday/run-10h03m48,0.9044051,0.546875,0.9139879999999999,0.53925,0.9044051,0.546875,0.9139879999999999,0.53925
3,complex_network,3,log/2020/02February/26Wednesday/run-10h03m48,0.83406943,0.560125,0.85384065,0.54825,0.83406943,0.560125,0.85384065,0.54825
4,complex_network,4,log/2020/02February/26Wednesday/run-10h03m48,0.80674917,0.567375,0.83124137,0.55525,0.80674917,0.567375,0.83124137,0.55525
5,complex_network,5,log/2020/02February/26Wednesday/run-10h03m48,0.7712435999999999,0.5796875,0.8027194999999999,0.56175,0.7712435999999999,0.5796875,0.8027194999999999,0.56175
6,complex_network,6,log/2020/02February/26Wednesday/run-10h03m48,0.7527786999999999,0.5885,0.7872814,0.5665,0.7527786999999999,0.5885,0.7872814,0.5665
7,complex_network,7,log/2020/02February/26Wednesday/run-10h03m48,0.7257059,0.6015,0.7656509,0.57675,0.7257059,0.6015,0.7656509,0.57675
8,complex_network,8,log/2020/02February/26Wednesday/run-10h03m48,0.71037316,0.609375,0.7512664000000001,0.58225,0.71037316,0.609375,0.7512664000000001,0.58225
9,complex_network,9,log/2020/02February/26Wednesday/run-10h03m48,0.68705016,0.622625,0.73149043,0.5905,0.68705016,0.622625,0.73149043,0.5905
10,complex_network,10,log/2020/02February/26Wednesday/run-10h03m48,0.67401403,0.6300625,0.72021055,0.59875,0.67401403,0.6300625,0.72021055,0.59875
11,complex_network,11,log/2020/02February/26Wednesday/run-10h03m48,0.6533509,0.64175,0.7015378000000001,0.60725,0.6533509,0.64175,0.7015378000000001,0.60725
12,complex_network,12,log/2020/02February/26Wednesday/run-10h03m48,0.64178514,0.650375,0.69105226,0.61475,0.64178514,0.650375,0.69105226,0.61475
13,complex_network,13,log/2020/02February/26Wednesday/run-10h03m48,0.6225988,0.6658125,0.6745204,0.6275,0.6225988,0.6658125,0.6745204,0.6275
14,complex_network,14,log/2020/02February/26Wednesday/run-10h03m48,0.61121047,0.672,0.6639873000000001,0.63475,0.61121047,0.672,0.6639873000000001,0.63475
15,complex_network,15,log/2020/02February/26Wednesday/run-10h03m48,0.59349275,0.68475,0.64776087,0.64725,0.59349275,0.68475,0.64776087,0.64725
