CVNN loss, RVNN loss
0.2500085, 0.2500053
0.24999939, 0.24999858
0.25000492, 0.25000626
0.2499958, 0.2500007
0.24999282, 0.2500004
0.16070525, 0.25001544
0.250015, 0.25000033
0.25000212, 0.24999957
0.25000265, 0.25000665
0.16995728, 0.2500002
0.2500249, 0.24999106
0.2499997, 0.25000542
0.25000387, 0.25000143
0.24999988, 0.2500022
0.2500016, 0.25000212
0.25000045, 0.24999882
0.24999687, 0.2500222
0.25000167, 0.25000346
0.24999824, 0.2500002
0.250036, 0.2500583
0.2500001, 0.2500063
0.24999814, 0.25002623
0.25000086, 0.25001195
0.25001195, 0.2500176
0.25000024, 0.25000024
0.24999794, 0.24999878
0.25000134, 0.250001
0.25002462, 0.2500168
0.2500047, 0.24999997
0.24999645, 0.25003475
0.2438706, 0.25000316
0.24994348, 0.24999794
0.250011, 0.25000057
0.2500007, 0.25000656
0.24999996, 0.25000075
0.25000307, 0.2500036
0.24999598, 0.24999253
0.2500071, 0.25000602
0.25001076, 0.25000712
0.25000483, 0.24999595
0.25000817, 0.25004208
0.25000978, 0.25000066
0.24999931, 0.2500101
0.24999487, 0.24999584
0.04436496, 0.250036
0.2500239, 0.25001252
0.25001442, 0.24998745
0.25000614, 0.24999519
0.2500016, 0.25000033
0.2499976, 0.25002307
0.24999502, 0.24999875
0.24999018, 0.24999775
0.250002, 0.25000086
0.25001046, 0.2500021
0.24999258, 0.25001594
0.250001, 0.25002545
0.24999285, 0.24999605
0.2500263, 0.24999146
0.23512846, 0.24999873
0.2499999, 0.2500045
0.25001714, 0.25000528
0.2500167, 0.25001866
0.15963233, 0.25003296
0.25000715, 0.25000972
0.25005874, 0.25004748
0.25002018, 0.24999988
0.25000307, 0.25000626
0.24999885, 0.24999835
0.25000063, 0.25000238
0.25000092, 0.25001472
0.016808834, 0.09509009
0.08178596, 0.2500064
0.11406767, 0.24999571
0.07092156, 0.24999739
0.25000015, 0.2500007
0.25000688, 0.2499987
0.24999905, 0.2500006
0.24916957, 0.25001425
0.24999599, 0.25002518
0.2500025, 0.25000024
0.25000373, 0.25001103
0.25001356, 0.25000075
0.25000176, 0.24999136
0.2500011, 0.25000113
0.2500015, 0.24999996
0.24999814, 0.2500107
0.25002924, 0.25000492
0.25000265, 0.25000086
0.2500341, 0.2499837
0.250001, 0.2500001
0.24999842, 0.24999882
0.14235088, 0.25000018
0.25001875, 0.25001937
0.2500201, 0.24999996
0.24999721, 0.25004855
0.25000235, 0.2500144
0.24999395, 0.2500438
0.2500188, 0.25000307
0.2500036, 0.25000298
0.25002423, 0.24999844
